ds,yhat,yhat_lower,yhat_upper
1898-03-01,-0.2277170687428062,-0.4285703773640744,-0.04413392759254371
1898-04-01,-0.24163334635090145,-0.422533082878953,-0.061952383124123864
1898-05-01,-0.23923727048736998,-0.4142043920257224,-0.037360979709665516
1898-06-01,-0.2706421381117429,-0.45821084618968627,-0.08124436553828077
1898-07-01,-0.24848623355191102,-0.45071257070786047,-0.06080158502091098
1898-08-01,-0.24341123531814404,-0.43101800843142885,-0.05353336268900192
1898-09-01,-0.2243049811991036,-0.40080134096290054,-0.03620722168146959
1898-10-01,-0.23373708834069906,-0.42669724817738863,-0.0390359467424217
1898-11-01,-0.2508324235251779,-0.44097241567535683,-0.06315263956089516
1898-12-01,-0.23101080040451866,-0.4148632367121061,-0.06712183143789059
1899-01-01,-0.27433561804403817,-0.4497995656769398,-0.07695208042332286
1899-02-01,-0.25739908396782213,-0.43723506324444344,-0.06279726777587805
1899-03-01,-0.23053519715567988,-0.4213947795390672,-0.051379567427393094
1899-04-01,-0.2439918439662143,-0.43690934799797265,-0.059498650843906965
1899-05-01,-0.24391991638076171,-0.4350942372609273,-0.058498400578583444
1899-06-01,-0.2677918456983141,-0.4519773409548726,-0.07219545882086435
1899-07-01,-0.24786801597934624,-0.4378593983332169,-0.06550079043019523
1899-08-01,-0.2441819897867529,-0.41793779017952076,-0.04803567896645449
1899-09-01,-0.2283290674609077,-0.412512761755624,-0.034159817807714855
1899-10-01,-0.23401702792544518,-0.41433643365130485,-0.03315508399081499
1899-11-01,-0.24838109243719983,-0.4248037956353847,-0.058527910586376304
1899-12-01,-0.24041116175463786,-0.42917054140099326,-0.043355154779892234
1900-01-01,-0.26954812772116965,-0.4553982583411415,-0.08909731971292595
1900-02-01,-0.2557943427175606,-0.4372588074821309,-0.06406250670688611
1900-03-01,-0.23343894288776168,-0.44010810487056284,-0.04480321886315065
1900-04-01,-0.24637448248410954,-0.43677149222494827,-0.05275821596387079
1900-05-01,-0.2485122723736688,-0.44066901878151504,-0.06461049204909365
1900-06-01,-0.2648436458076276,-0.4610564716620667,-0.07627375633636381
1900-07-01,-0.24730004698269092,-0.42225173795483023,-0.054183042900172736
1900-08-01,-0.24502969662549712,-0.4340707464675203,-0.05606426461830848
1900-09-01,-0.2323658966279084,-0.4249331870576193,-0.04355547217386853
1900-10-01,-0.23424480242455212,-0.4195358167126677,-0.040976245148478085
1900-11-01,-0.2460083072187148,-0.4331821635938044,-0.060844737474478404
1900-12-01,-0.2497597823617349,-0.43945554372622225,-0.06382901610936823
1901-01-01,-0.2646138415251689,-0.44887946162402675,-0.07733840379261907
1901-02-01,-0.2542562132865475,-0.44499390351810186,-0.07792664293187901
1901-03-01,-0.23642604069986217,-0.4252340619951046,-0.056518098374970044
1901-04-01,-0.24877789051755902,-0.4377920704508348,-0.06686305238860729
